Year,"Total forcing [V,S,L,G]"
1797,-0.4540956999999999
1798,-0.3028325999999999
1799,-0.0673295999999999
1800,-0.01166994
1801,0.0483924899999999
1802,0.033576149
1803,0.0159131
1804,0.0224489999999999
1805,0.0298158999999999
1806,0.0166146999999999
1807,0.0084465999999999
1808,0.0084434999999999
1809,0.0070993
1810,-4.4222198
1811,-2.5945538999999997
1812,-0.471904
1813,-0.0628962999999999
1814,0.0080567
1815,0.0288316399999999
1816,-8.9024816
1817,-5.2359707
1818,-0.9510058
1819,-0.138274
1820,-0.0088724
1821,0.0086857399999999
1822,0.0085997
1823,0.0060655
1824,0.0107794
1825,0.0224333
1826,0.0402800999999999
1827,0.060551
1828,0.0770449
1829,0.0808498
1830,0.0882506
1831,0.0587925
1832,-1.0474486
1833,-0.7015938
1834,-0.1111059
1835,0.0504686
1836,-3.7182271
1837,-1.0927933
1838,-0.1061484
1839,0.0698034999999999
1840,0.08496353
1841,0.0688762
1842,0.0641270999999999
1843,0.055736
1844,0.0650018
1845,0.0915367
1846,0.1132196
1847,0.1344554
1848,0.1717912999999999
1849,0.1717692
1850,0.139436
1851,0.1447499
1852,0.1355148
1853,0.1183967
1854,0.0957894999999999
1855,0.0798944
1856,0.0779993
1857,0.0955581
1858,0.129045
1859,0.1678278999999999
1860,0.1810158
1861,0.1674716
1862,0.1323713
1863,-0.3941516
1864,-0.0021627999999999
1865,0.0956159999999999
1866,0.10718385
1867,0.1036852069999999
1868,0.1370616999999999
1869,0.1805395999999999
1870,0.2270705
1871,0.2200423
1872,0.2141152
1873,0.1840361
1874,0.1676439999999999
1875,0.1484568
1876,0.1432757
1877,0.1466756
1878,0.1517054
1879,0.1653073
1880,0.2043122
1881,0.2414671
1882,0.2567979
1883,0.2752928
1884,-1.3625583
1885,-0.9533615
1886,0.0147433999999999
1887,0.1097322999999999
1888,0.0655751
1889,0.2054137999999999
1890,0.2428373199999999
1891,0.294237064
1892,0.315501346
1893,0.3375445
1894,0.3554003999999999
1895,0.3361102
1896,0.3089551
1897,0.286561
1898,0.2857659
1899,0.2863896999999999
1900,0.2891646
1901,0.2833889
1902,0.289806
1903,0.2476688
1904,-0.047602
1905,0.2747066
1906,0.3918024
1907,0.3949554299999999
1908,0.422804926
1909,0.41527
1910,0.402181
1911,0.396914
1912,-0.1376030000000001
1913,-0.1978839999999999
1914,0.2988149999999999
1915,0.4556920999999999
1916,0.5189731399999999
1917,0.557216449
1918,0.5612699999999999
1919,0.527795
1920,0.508703
1921,0.49594
1922,0.4824119999999999
1923,0.4955639999999999
1924,0.509195
1925,0.553408
1926,0.067156
1927,0.411604
1928,0.5708583
1929,0.60670721
1930,0.6166620199999999
